YEAR,MONTH,MEAN_SST_PC,MEAN_SST_PA,MEAN_SST_MB
2003,1,16.294,19.358,21.104
2003,2,16.179,19.037,20.127
2003,3,15.555,17.165,19.267
2003,4,15.385,16.396,18.814
2003,5,14.143,16.322,18.515
2003,6,,16.475,19.024
2003,7,19.111,19.886,21.726
2003,8,19.638,23.273,24.708
2003,9,20.903,24.791,26.452
2003,10,19.956,23.599,26.191
2003,11,18.137,22.231,25.087
2003,12,16.857,20.559,22.964
2004,1,15.638,18.829,21.095
2004,2,15.247,16.9,19.051
2004,3,15.293,16.73,18.402
2004,4,15.811,16.898,18.419
2004,5,17.201,18.048,19.498
2004,6,17.203,17.126,19.63
2004,7,19.801,21.058,22.431
2004,8,20.288,21.97,24.723
2004,9,21.574,25.562,27.265
2004,10,19.073,23.36,25.359
2004,11,17.763,21.632,23.37
2004,12,16.318,20.028,21.89
2005,1,16.409,19.161,21.161
2005,2,15.794,18.166,19.664
2005,3,15.834,17.33,18.736
2005,4,15.18,16.883,18.835
2005,5,15.992,17.157,18.854
2005,6,17.34,17.967,20.082
2005,7,19.337,20.464,21.94
2005,8,20.187,22.397,24.752
2005,9,18.782,24.911,26.426
2005,10,18.097,23.074,24.368
2005,11,17.082,20.469,23.596
2005,12,15.762,19.539,22.214
2006,1,15.276,17.752,20.158
2006,2,15.25,16.906,18.644
2006,3,14.132,15.534,17.247
2006,4,14.952,15.927,18.378
2006,5,17.087,17.051,17.999
2006,6,17.586,18.829,19.571
2006,7,20.947,21.673,23.67
2006,8,20.994,24.346,25.967
2006,9,21.061,25.315,27.264
2006,10,19.527,25.101,27.512
2006,11,18.584,24.298,26.218
2006,12,17.261,22.015,23.842
2007,1,15.511,19.798,21.829
2007,2,14.859,18.228,20.088
2007,3,14.76,17.343,19.631
2007,4,14.508,16.757,19
2007,5,15.741,16.565,18.572
2007,6,17.173,18.363,19.833
2007,7,19.837,20.467,22.008
2007,8,21.173,21.683,24.125
2007,9,19.597,22.897,25.025
2007,10,18.037,21.224,24.171
2007,11,16.542,21.451,23.06
2007,12,15.219,18.411,20.118
2008,1,14.459,17.546,19.476
2008,2,14.025,16.819,18.321
2008,3,14.816,16.842,18.105
2008,4,15.227,17.181,18.413
2008,5,16.086,16.945,17.96
2008,6,14.906,17.773,18.258
2008,7,19.663,20.825,23.277
2008,8,20.648,24.854,26.485
2008,9,20.06,26.207,27.482
2008,10,19.798,25.826,27.566
2008,11,19.017,23.593,25.743
2008,12,16.001,20.726,22.998
2009,1,16.699,19.499,21.042
2009,2,15.583,18.71,20.319
2009,3,15.529,18.698,21.242
2009,4,16.09,16.945,19.624
2009,5,12.682,18.221,18.868
2009,6,14.645,17.118,19
2009,7,17.574,20.274,21.627
2009,8,18.151,23.954,26.449
2009,9,20.893,25.737,27.794
2009,10,19.289,25.104,26.953
2009,11,18.108,23.223,24.607
2009,12,16.326,20.955,23.055
2010,1,16.576,20.336,22.302
2010,2,15.693,18.857,20.86
2010,3,15.462,17.537,19.866
2010,4,15.45,17.837,19.87
2010,5,14.864,17.33,18.519
2010,6,15.043,17.911,19.806
2010,7,17.581,18.788,20.489
2010,8,18.657,21.026,22.919
2010,9,18.842,21.469,24.251
2010,10,18.573,19.885,22.78
2010,11,17.568,19.473,22.1
2010,12,15.678,18.074,20.727
2011,1,15.063,16.865,18.622
2011,2,14.464,15.977,17.671
2011,3,14.441,16.432,18.011
2011,4,15.723,16.193,18.518
2011,5,15.514,16.646,18.492
2011,6,15.748,17.172,17.88
2011,7,18.535,19.332,21.766
2011,8,19.086,23.405,25.265
2011,9,19.069,24.189,26.74
2011,10,18.144,22.146,25.55
2011,11,16.566,21.005,23.334
2011,12,15.636,18.955,20.939
2012,1,15.599,18.081,19.651
2012,2,15.364,16.914,18.914
2012,3,14.638,16.056,18.466
2012,4,14.755,16.492,18.5
2012,5,15.549,16.721,18.24
2012,6,15.757,17.588,18.806
2012,7,18.672,19.797,22.34
2012,8,20.811,23.618,25.248
2012,9,21.544,27.144,27.388
2012,10,20.265,26.165,26.986
2012,11,18.624,23.166,24.887
2012,12,16.513,21.069,23.364
2013,1,14.654,17.919,20.246
2013,2,14.404,16.67,18.804
2013,3,15.09,16.553,18.609
2013,4,15.281,16.402,18.802
2013,5,17.316,16.451,19.102
2013,6,18.128,17.366,19.604
2013,7,18.239,21.379,22.619
2013,8,19.954,21.229,24.064
2013,9,19.921,23.671,25.354
2013,10,19.13,22.595,25.308
2013,11,18.154,22.354,24.645
2013,12,16.712,19.586,22.142
